construct,source_construct,subscale,subscale_display,item_key,item_column,used,wave_years,n_waves
rwp,populism,rwp_authoritarian,right,gov_trust,populism__gov_trust,True,2011;2013;2019;2023;2024,5
rwp,populism,rwp_authoritarian,right,mp_trust,populism__mp_trust,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,censorship_morality,right__censorship_morality,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,death_penalty,right__death_penalty,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,immigration_culture,right__immigration_culture,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,immigration_economy,right__immigration_economy,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,obey_authority,right__obey_authority,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,obey_law,right__obey_law,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,stiff_sentences,right__stiff_sentences,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_authoritarian,right,traditional_values,right__traditional_values,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_welfare,welfare,welfare_damage_lives,right__welfare_damage_lives,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_welfare,welfare,welfare_deserving,right__welfare_deserving,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_welfare,welfare,welfare_fiddling,right__welfare_fiddling,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_welfare,welfare,welfare_helping_each_other,right__welfare_helping_each_other,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_welfare,welfare,welfare_pride,right__welfare_pride,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_welfare,welfare,welfare_spending,right__welfare_spending,True,2011;2013;2019;2023;2024,5
rwp,right,rwp_welfare,welfare,welfare_stand_own_feet,right__welfare_stand_own_feet,True,2011;2013;2019;2023;2024,5
