year,employment_status,n,weighted_mean_rwp_score
2011,employed,1507,0.5921638110830727
2011,unemployed,142,0.5484712302378784
2011,retired,748,0.6044461130821975
2011,student,67,0.5316308375108264
2011,inactive,354,0.5905845027217083
2013,employed,1460,0.5760577493105381
2013,unemployed,143,0.5222803539874292
2013,retired,814,0.5912000342357414
2013,student,92,0.5123068912930556
2013,inactive,277,0.5497732520128563
2019,employed,1329,0.4900581968773973
2019,unemployed,124,0.4637338919789253
2019,retired,823,0.5183861610194826
2019,student,66,0.4342881403766547
2019,inactive,253,0.5021429737447426
2024,employed,2142,0.5393816055753415
2024,unemployed,127,0.48695167534026884
2024,retired,1003,0.5428364874550659
2024,student,158,0.48645449060443585
2024,inactive,408,0.5145252661758012
